SalePrice,Overall Qual,Exter Qual,Gr Liv Area,Kitchen Qual,Garage Cars,Garage Area,Total Bsmt SF
215000,6,2,1656,2,2.0,528.0,1080.0
105000,5,2,896,2,1.0,730.0,882.0
172000,6,2,1329,3,1.0,312.0,1329.0
244000,7,3,2110,4,2.0,522.0,2110.0
189900,5,2,1629,2,2.0,482.0,928.0
195500,6,2,1604,3,2.0,470.0,926.0
213500,8,3,1338,3,2.0,582.0,1338.0
191500,8,3,1280,3,2.0,506.0,1280.0
236500,8,3,1616,3,2.0,608.0,1595.0
189000,7,2,1804,3,2.0,442.0,994.0
175900,6,2,1655,2,2.0,440.0,763.0
180400,6,2,1465,2,2.0,393.0,789.0
171500,7,2,1341,3,2.0,506.0,1300.0
538000,8,4,3279,4,3.0,841.0,1650.0
164000,8,3,1752,2,2.0,492.0,559.0
394432,9,3,1856,4,3.0,834.0,1856.0
141000,4,2,864,2,2.0,400.0,864.0
210000,6,2,2073,2,2.0,500.0,1542.0
190000,6,2,1844,2,2.0,546.0,1844.0
170000,7,2,1173,3,2.0,528.0,1053.0
142000,5,2,1056,2,1.0,304.0,1056.0
126000,4,2,882,2,2.0,525.0,882.0
184000,7,3,1337,3,2.0,511.0,1405.0
96000,6,2,987,2,1.0,264.0,483.0
105500,5,2,1092,2,1.0,320.0,525.0
88000,6,2,1092,2,1.0,264.0,525.0
127500,6,2,1069,2,2.0,440.0,1069.0
149900,6,2,1456,3,2.0,440.0,855.0
120000,7,2,836,2,1.0,308.0,836.0
146000,6,2,1456,2,2.0,440.0,855.0
376162,9,4,2334,4,3.0,751.0,1590.0
306000,8,3,1704,3,3.0,772.0,1704.0
395192,9,4,1940,4,3.0,606.0,1930.0
290941,8,3,1544,3,3.0,868.0,1544.0
220000,7,3,1541,3,2.0,532.0,1541.0
275000,9,3,1698,4,3.0,730.0,1698.0
259000,8,3,1822,4,3.0,678.0,1822.0
214000,7,3,1535,3,2.0,532.0,1517.0
611657,9,4,2364,4,3.0,820.0,2330.0
224000,7,3,1358,3,2.0,484.0,1358.0
500000,9,4,2696,4,3.0,958.0,2846.0
320000,8,3,2250,3,3.0,756.0,1671.0
319900,9,4,1752,4,2.0,576.0,1752.0
205000,8,3,1370,3,2.0,484.0,1370.0
175500,7,3,1626,3,2.0,474.0,764.0
199500,6,3,1324,3,2.0,430.0,1324.0
160000,7,3,1145,3,2.0,437.0,1145.0
192000,8,3,1269,3,2.0,430.0,1256.0
184500,7,3,1374,3,2.0,400.0,384.0
185088,7,3,1733,3,2.0,433.0,847.0
333168,9,3,2599,3,3.0,779.0,1393.0
355000,8,3,2475,3,3.0,962.0,1629.0
260400,7,3,1720,3,2.0,527.0,1720.0
325000,8,3,2622,3,2.0,712.0,1463.0
290000,8,3,2270,3,3.0,671.0,1152.0
221000,7,3,1839,2,2.0,486.0,1195.0
410000,8,3,3238,3,3.0,666.0,2033.0
221500,8,3,1595,3,3.0,880.0,1595.0
204500,7,3,1218,3,2.0,676.0,1218.0
215200,7,2,1547,3,2.0,614.0,756.0
262500,8,3,1566,3,2.0,750.0,1566.0
254900,7,3,1947,3,2.0,678.0,991.0
271500,6,3,1468,3,2.0,528.0,1468.0
233000,7,3,2084,3,2.0,618.0,956.0
181000,7,3,1659,3,2.0,484.0,831.0
143000,6,2,923,2,1.0,264.0,923.0
189000,6,3,1845,3,2.0,462.0,1055.0
99500,6,2,918,2,1.0,264.0,918.0
125000,6,2,752,2,1.0,264.0,744.0
152000,6,2,1097,2,2.0,480.0,1040.0
171000,6,2,1564,2,2.0,476.0,650.0
67500,5,2,1012,2,1.0,429.0,816.0
112000,6,2,1902,2,2.0,539.0,0.0
148000,5,2,1155,3,2.0,576.0,1109.0
138500,5,2,894,2,1.0,336.0,894.0
133000,5,2,1040,2,1.0,308.0,1040.0
169000,6,2,1494,2,2.0,461.0,1208.0
190000,7,3,1923,3,2.0,564.0,750.0
362500,8,3,2349,3,3.0,762.0,1231.0
285000,8,3,2225,3,3.0,713.0,1390.0
260000,7,3,1488,3,2.0,506.0,1488.0
190000,7,3,1680,3,2.0,588.0,840.0
155000,7,3,1200,3,2.0,480.0,600.0
151000,7,3,1200,3,2.0,480.0,600.0
149500,7,3,1200,3,2.0,480.0,600.0
152000,6,3,1236,3,2.0,480.0,600.0
155000,7,3,1416,3,2.0,484.0,696.0
267916,8,3,1418,3,3.0,852.0,1642.0
254000,8,3,1848,3,2.0,592.0,975.0
155000,8,3,788,3,2.0,484.0,728.0
206000,8,3,1226,3,2.0,484.0,1226.0
230000,7,3,1492,3,2.0,596.0,1492.0
243500,6,2,2495,3,2.0,660.0,1280.0
196500,7,2,1714,2,2.0,496.0,980.0
197500,6,2,1381,3,2.0,676.0,1161.0
171000,6,2,1645,2,2.0,441.0,715.0
142250,5,2,1232,2,2.0,490.0,1232.0
159000,5,2,1209,2,2.0,504.0,1209.0
178900,5,2,1510,3,2.0,517.0,1510.0
137500,6,2,1054,3,2.0,480.0,936.0
142125,5,2,1078,3,1.0,240.0,1078.0
197600,5,3,2461,2,2.0,400.0,1140.0
172500,6,2,1556,2,2.0,470.0,782.0
128000,5,2,1063,2,1.0,280.0,1056.0
153000,6,2,1520,2,1.0,364.0,1156.0
132000,5,2,1268,2,1.0,244.0,1268.0
178000,6,2,1128,3,1.0,315.0,1080.0
154300,5,2,2274,2,2.0,480.0,1105.0
190000,6,3,1888,3,2.0,578.0,1517.0
135000,5,2,1604,2,2.0,576.0,1604.0
214000,7,3,1480,3,2.0,620.0,1480.0
165500,5,2,1700,3,2.0,447.0,1398.0
145000,5,2,1314,2,1.0,294.0,1314.0
148000,6,2,1194,2,1.0,312.0,1194.0
167500,5,2,1264,2,2.0,461.0,1268.0
108538,5,2,1206,2,1.0,312.0,1206.0
159500,6,2,1580,2,2.0,440.0,1244.0
108000,4,2,1337,2,1.0,263.0,832.0
135000,5,2,1064,1,1.0,318.0,864.0
122500,5,2,972,2,1.0,305.0,972.0
119000,5,2,988,2,1.0,264.0,988.0
109000,5,2,1057,3,1.0,246.0,1057.0
105000,4,2,985,2,2.0,676.0,576.0
107500,5,2,827,2,1.0,392.0,0.0
144900,5,2,1086,2,2.0,490.0,1086.0
129000,5,2,936,2,1.0,308.0,936.0
97500,6,2,1458,2,1.0,330.0,912.0
144000,6,2,1056,2,2.0,576.0,1056.0
242000,7,3,2978,3,2.0,564.0,710.0
132000,6,2,1224,2,1.0,280.0,816.0
154000,5,2,1246,3,1.0,305.0,1246.0
166000,5,2,1385,2,2.0,720.0,910.0
134800,5,2,900,3,2.0,576.0,900.0
160000,6,2,1116,2,2.0,440.0,1116.0
148000,5,2,1175,2,2.0,484.0,1175.0
192000,6,2,1395,2,2.0,440.0,1395.0
155000,6,2,1839,2,2.0,442.0,756.0
80400,4,2,1844,2,1.0,240.0,709.0
115000,5,2,1028,2,2.0,360.0,1008.0
143000,5,2,1347,3,2.0,551.0,1347.0
107400,3,3,1605,2,1.0,379.0,840.0
80000,4,2,747,2,1.0,220.0,747.0
119000,5,2,804,3,1.0,240.0,788.0
130000,5,2,1316,2,2.0,484.0,926.0
119000,6,2,1251,1,1.0,240.0,827.0
129000,5,2,1633,3,1.0,240.0,1027.0
12789,2,2,832,2,2.0,780.0,678.0
105900,6,2,720,2,2.0,484.0,624.0
150000,8,3,1566,3,1.0,288.0,930.0
139000,5,2,1652,2,1.0,416.0,686.0
240000,8,3,2268,3,2.0,624.0,346.0
149700,6,2,1236,2,2.0,923.0,912.0
125500,4,2,1363,2,2.0,528.0,622.0
122500,4,2,2290,2,2.0,560.0,777.0
140750,6,2,1470,2,2.0,624.0,738.0
128500,5,2,1612,2,1.0,363.0,988.0
87000,4,2,765,3,1.0,200.0,765.0
134000,6,2,1132,2,1.0,240.0,608.0
128000,6,2,1196,2,2.0,576.0,572.0
132000,5,2,1453,3,1.0,240.0,835.0
139900,6,2,1416,2,1.0,312.0,780.0
123900,5,2,1040,2,2.0,624.0,528.0
138400,5,2,1536,2,2.0,480.0,928.0
109500,6,2,1068,2,1.0,288.0,1124.0
140000,7,2,1710,2,2.0,480.0,576.0
149500,4,2,1962,2,2.0,572.0,888.0
122000,6,2,1324,2,1.0,180.0,662.0
110000,5,1,816,2,2.0,516.0,816.0
140000,5,2,1812,3,2.0,672.0,360.0
173000,5,2,1675,2,1.0,365.0,1422.0
107500,5,2,1224,0,1.0,180.0,689.0
95000,6,2,919,2,1.0,231.0,600.0
114900,5,2,1680,2,2.0,450.0,856.0
131500,5,2,1039,2,2.0,504.0,1039.0
125000,5,2,912,2,1.0,336.0,912.0
137900,5,2,892,3,1.0,416.0,864.0
158000,6,2,1352,2,1.0,299.0,663.0
137250,5,2,864,2,1.0,280.0,864.0
163000,5,2,1440,2,2.0,480.0,720.0
328000,7,3,2260,3,2.0,533.0,1306.0
85000,4,2,756,2,2.0,440.0,660.0
128000,4,2,1067,3,2.0,436.0,1067.0
124000,3,2,1610,1,1.0,480.0,972.0
83000,5,2,835,2,1.0,366.0,458.0
144500,6,2,1074,3,1.0,467.0,663.0
129000,5,2,1144,2,1.0,596.0,1144.0
127000,4,2,1531,2,1.0,209.0,756.0
128000,5,2,1172,2,1.0,366.0,1172.0
186000,6,2,1212,3,2.0,460.0,1212.0
308030,7,3,1508,3,2.0,572.0,1508.0
84900,4,2,930,3,1.0,308.0,0.0
178000,6,3,1732,3,2.0,476.0,741.0
270000,7,3,1433,3,2.0,528.0,1433.0
218000,6,3,1802,3,4.0,1017.0,946.0
236000,7,3,1949,3,2.0,574.0,1050.0
147000,6,2,996,3,2.0,564.0,936.0
245350,8,3,1694,3,3.0,776.0,1694.0
206000,7,3,1208,3,2.0,632.0,1187.0
198900,7,2,1226,3,3.0,740.0,1226.0
187000,7,3,1222,3,2.0,615.0,1222.0
320000,7,2,3222,3,3.0,594.0,1673.0
138500,6,2,1445,2,2.0,484.0,676.0
155000,6,2,1052,2,2.0,440.0,1010.0
159000,5,2,965,2,2.0,580.0,870.0
200500,6,2,1682,3,2.0,523.0,804.0
150000,5,3,1026,2,1.0,308.0,1026.0
128200,5,2,894,2,1.0,308.0,894.0
127000,5,2,876,2,2.0,484.0,876.0
318000,8,3,1978,3,3.0,850.0,1978.0
237000,7,3,1829,3,2.0,613.0,941.0
240000,7,3,2098,3,2.0,621.0,1040.0
224900,7,2,1661,3,2.0,598.0,1649.0
232000,8,3,1668,3,2.0,502.0,1657.0
213000,7,3,1484,3,2.0,606.0,1473.0
185500,7,3,1414,3,2.0,494.0,1414.0
84900,3,2,640,2,1.0,240.0,0.0
155891,5,2,992,2,1.0,319.0,381.0
144000,5,2,1196,2,1.0,336.0,1196.0
64000,4,2,1120,1,2.0,480.0,744.0
125200,6,2,1096,2,1.0,352.0,1008.0
107000,6,2,1117,2,2.0,672.0,1029.0
140000,4,2,1121,2,2.0,440.0,1121.0
113000,6,2,1487,2,1.0,220.0,735.0
80000,4,2,924,1,1.0,280.0,672.0
144500,5,2,1526,2,1.0,364.0,1216.0
104000,5,2,1296,1,1.0,260.0,1107.0
128000,6,2,1647,1,1.0,216.0,806.0
58500,3,2,864,2,1.0,200.0,864.0
127000,5,2,1691,3,1.0,308.0,1026.0
169000,6,2,2447,3,1.0,336.0,804.0
257500,7,3,2133,2,1.0,312.0,1528.0
215000,5,2,2177,2,2.0,484.0,1032.0
266500,7,4,2340,3,1.0,252.0,1152.0
335000,7,3,1902,4,2.0,567.0,1902.0
203135,7,2,1652,3,2.0,473.0,423.0
185000,8,3,1034,3,2.0,598.0,982.0
162500,8,3,1191,3,2.0,531.0,1191.0
289000,7,2,1801,2,2.0,484.0,1501.0
125500,4,2,1154,3,1.0,240.0,796.0
82000,2,2,540,2,1.0,200.0,480.0
110000,6,2,1107,2,1.0,625.0,629.0
68400,4,2,1128,2,2.0,528.0,698.0
102776,4,2,1178,2,1.0,384.0,859.0
55993,5,1,1044,1,2.0,504.0,540.0
50138,4,1,952,2,1.0,330.0,756.0
246000,8,3,1646,3,2.0,525.0,1594.0
254900,8,3,1916,3,3.0,741.0,1049.0
190000,6,2,1285,3,2.0,473.0,1243.0
201000,7,3,1560,3,2.0,573.0,1560.0
220000,7,3,1346,3,3.0,660.0,1336.0
179781,7,3,1214,3,2.0,520.0,1214.0
174000,5,2,1444,2,2.0,400.0,384.0
269500,8,3,1968,4,3.0,680.0,774.0
214900,7,3,1894,3,2.0,510.0,817.0
202900,8,3,1908,3,2.0,431.0,967.0
378500,9,4,2018,4,3.0,746.0,2002.0
169000,5,2,1264,2,2.0,528.0,1068.0
173500,5,2,1430,3,2.0,624.0,1430.0
119500,5,2,945,2,1.0,253.0,945.0
85000,5,2,1112,2,1.0,336.0,536.0
85500,4,2,1092,2,1.0,286.0,546.0
130000,5,2,874,2,1.0,352.0,864.0
149900,5,2,833,3,2.0,495.0,833.0
159000,5,2,2432,2,2.0,616.0,1216.0
136000,5,2,1274,2,2.0,576.0,624.0
161000,5,2,1479,2,1.0,275.0,864.0
285000,8,3,1803,3,2.0,482.0,1679.0
231000,6,3,1797,3,2.0,616.0,1152.0
124500,6,2,882,2,1.0,502.0,882.0
157000,6,2,1434,2,2.0,528.0,1434.0
345000,8,3,2704,4,2.0,538.0,1952.0
189500,6,2,1608,2,2.0,470.0,945.0
189000,7,2,1628,2,2.0,390.0,384.0
377500,9,4,1746,4,3.0,758.0,1746.0
375000,8,3,2522,3,2.0,564.0,2208.0
278000,8,3,1659,4,2.0,499.0,1501.0
240000,8,2,1478,2,2.0,495.0,1418.0
239500,8,3,1734,3,2.0,528.0,1587.0
177500,7,3,1382,2,2.0,396.0,384.0
185000,7,2,1718,2,2.0,427.0,832.0
191000,6,3,1636,2,2.0,440.0,952.0
178000,6,3,1571,2,2.0,380.0,799.0
166000,6,2,1190,3,2.0,430.0,1181.0
174000,6,2,1481,2,2.0,343.0,702.0
180500,7,2,1442,2,2.0,500.0,1424.0
501837,9,4,2234,4,3.0,1166.0,2216.0
372500,8,3,2046,3,3.0,834.0,2046.0
260000,7,3,1530,3,2.0,430.0,1530.0
185000,5,2,1934,2,2.0,567.0,1122.0
260000,7,3,2353,4,2.0,484.0,845.0
181000,6,2,1586,2,2.0,435.0,1362.0
82500,7,2,1411,2,2.0,544.0,1386.0
200000,6,2,1671,2,2.0,484.0,1427.0
184000,6,2,1707,2,2.0,479.0,1140.0
278000,8,3,2524,3,2.0,542.0,2524.0
157000,7,2,1601,2,2.0,478.0,1271.0
152000,7,2,1370,2,2.0,479.0,1090.0
240900,7,3,1884,4,2.0,581.0,926.0
263435,8,3,1935,2,2.0,552.0,832.0
167900,6,2,1116,2,2.0,528.0,1116.0
158000,7,2,1193,2,2.0,506.0,1176.0
165000,6,2,1350,2,2.0,478.0,1064.0
156000,6,2,1026,3,2.0,440.0,1026.0
76500,4,2,864,2,2.0,576.0,864.0
120500,4,2,864,3,2.0,660.0,864.0
124500,4,2,864,2,2.0,463.0,864.0
97000,4,2,864,2,2.0,576.0,864.0
130000,4,2,864,2,2.0,576.0,864.0
111000,6,2,987,2,1.0,264.0,483.0
125000,5,2,1365,2,2.0,440.0,765.0
112000,5,2,1302,2,1.0,280.0,630.0
97000,6,2,987,2,1.0,288.0,483.0
118000,6,2,987,3,1.0,264.0,483.0
119500,5,2,1302,2,1.0,264.0,630.0
146000,6,2,1548,2,2.0,440.0,804.0
148500,6,2,1456,2,2.0,440.0,855.0
123000,7,2,1055,2,2.0,440.0,1057.0
147000,6,2,1322,2,2.0,440.0,855.0
137900,6,2,1456,2,2.0,440.0,855.0
147000,6,2,1548,2,2.0,440.0,804.0
148500,6,2,1441,2,2.0,440.0,855.0
138000,6,3,1456,2,2.0,440.0,855.0
128500,7,2,836,2,1.0,345.0,836.0
100000,5,2,892,2,1.0,288.0,892.0
337500,10,4,1718,4,3.0,786.0,1700.0
462000,9,4,2772,4,3.0,754.0,1776.0
485000,9,4,3140,4,3.0,820.0,1926.0
555000,10,4,2402,4,3.0,672.0,3094.0
325000,9,3,1652,4,2.0,840.0,1652.0
256300,8,3,1600,3,3.0,890.0,1566.0
253293,8,4,2042,4,3.0,1390.0,2042.0
398800,9,3,2690,4,3.0,864.0,1365.0
335000,9,4,2184,4,3.0,836.0,1104.0
404000,9,4,2020,4,3.0,896.0,2020.0
402861,10,4,2020,4,3.0,900.0,2006.0
451950,10,4,2296,4,3.0,842.0,1722.0
610000,10,4,2674,4,3.0,762.0,2630.0
582933,9,4,2822,4,3.0,1020.0,1734.0
360000,9,4,1736,4,3.0,834.0,1736.0
296000,8,3,1782,3,3.0,932.0,1782.0
409900,8,3,2520,4,3.0,640.0,1508.0
255500,8,3,1717,3,3.0,908.0,1709.0
335000,9,4,1743,4,3.0,927.0,1739.0
274900,8,3,1713,4,3.0,856.0,1713.0
300000,9,3,1531,4,3.0,700.0,1504.0
324000,9,4,1808,4,3.0,850.0,1774.0
350000,9,3,2224,4,3.0,738.0,1462.0
280000,8,3,1836,3,3.0,862.0,1836.0
284000,8,3,1629,3,3.0,880.0,3206.0
269500,7,3,1760,3,2.0,583.0,1760.0
233170,7,3,1502,3,2.0,644.0,1502.0
386250,10,4,2392,4,3.0,968.0,2392.0
445000,9,3,2452,4,3.0,886.0,2452.0
290000,8,3,2400,3,3.0,730.0,1082.0
255900,8,3,1606,3,3.0,871.0,1598.0
213000,6,3,1358,3,2.0,484.0,1358.0
196000,6,3,1306,3,2.0,624.0,1306.0
184500,6,3,1306,3,2.0,624.0,1306.0
212500,7,3,1358,3,2.0,484.0,1350.0
230000,7,3,1314,3,2.0,626.0,1314.0
552000,10,4,2492,4,3.0,949.0,2492.0
382500,8,3,2200,4,3.0,685.0,2200.0
320000,9,4,1884,4,2.0,649.0,1884.0
248500,9,4,1456,4,2.0,539.0,1451.0
286500,8,3,1712,3,3.0,701.0,1712.0
254000,8,3,1324,3,2.0,550.0,1324.0
173000,7,3,1405,3,2.0,478.0,1405.0
173000,7,3,1626,3,2.0,474.0,764.0
184000,7,3,1456,3,2.0,390.0,728.0
167800,6,3,1490,3,2.0,392.0,745.0
174000,6,3,1484,3,2.0,390.0,742.0
174000,6,3,1560,3,2.0,400.0,684.0
174000,7,3,1555,3,3.0,660.0,1373.0
175900,7,3,1569,3,3.0,660.0,1386.0
192500,7,3,1555,3,2.0,430.0,1373.0
181000,7,3,1504,3,2.0,457.0,1346.0
180000,7,3,1220,3,2.0,397.0,1220.0
160200,7,3,1145,3,2.0,397.0,1145.0
188500,7,3,1432,3,2.0,432.0,716.0
170000,7,3,1374,3,2.0,400.0,384.0
189500,7,3,1630,3,2.0,436.0,868.0
195500,7,3,1594,3,2.0,434.0,846.0
207500,7,3,1314,3,2.0,626.0,1314.0
167000,7,3,1374,3,2.0,400.0,384.0
179000,6,2,1800,2,2.0,463.0,982.0
190000,6,2,1514,2,2.0,394.0,794.0
156000,7,2,1430,2,2.0,400.0,384.0
168000,7,2,1430,2,2.0,410.0,384.0
337000,8,3,2365,3,3.0,856.0,1252.0
403000,8,3,2794,4,3.0,810.0,1462.0
327000,8,3,2687,3,3.0,810.0,1455.0
336000,8,3,2612,3,3.0,676.0,1225.0
265000,7,3,2344,3,3.0,889.0,1264.0
260000,7,3,2646,3,3.0,656.0,1347.0
260000,7,3,2061,3,2.0,647.0,1070.0
402000,8,3,2448,3,3.0,711.0,1629.0
244600,8,3,1468,3,3.0,898.0,1468.0
275000,8,3,1696,3,3.0,972.0,1696.0
257500,8,3,1658,3,3.0,726.0,1614.0
287090,8,3,1578,4,3.0,840.0,1573.0
275500,8,3,1702,3,3.0,844.0,1702.0
245000,8,3,1432,3,2.0,492.0,1422.0
253000,7,3,1971,3,2.0,689.0,1113.0
468000,9,4,2490,4,3.0,795.0,2458.0
252678,7,2,1852,3,2.0,644.0,900.0
210000,8,3,1590,3,2.0,676.0,768.0
208300,6,3,1218,3,2.0,676.0,1218.0
229456,8,3,1314,3,2.0,552.0,1300.0
229800,7,3,1402,3,2.0,625.0,1402.0
250000,9,3,1530,3,3.0,984.0,1530.0
370878,9,4,1766,4,3.0,478.0,1766.0
238500,8,3,1448,3,2.0,692.0,1372.0
310000,10,4,2007,4,3.0,812.0,1017.0
270000,8,3,1795,3,3.0,782.0,900.0
252000,8,3,1953,3,3.0,1043.0,1082.0
241000,7,3,1550,3,2.0,438.0,1092.0
264500,8,3,1836,3,2.0,517.0,1836.0
291000,7,3,1662,4,3.0,711.0,1652.0
263000,7,3,2094,3,2.0,615.0,912.0
185000,7,3,1221,3,2.0,400.0,1221.0
234500,7,3,1553,3,2.0,588.0,1553.0
209000,7,3,1653,3,2.0,628.0,812.0
159000,7,3,1218,3,2.0,576.0,1218.0
152000,7,3,1141,3,2.0,484.0,1141.0
193000,7,3,1812,3,2.0,478.0,835.0
203000,8,3,1512,3,3.0,845.0,1512.0
159000,7,3,1114,3,2.0,576.0,1114.0
153000,5,2,1114,3,2.0,576.0,1114.0
224243,7,3,1450,3,3.0,788.0,1450.0
220000,7,3,2122,3,2.0,559.0,913.0
257000,8,3,1844,3,2.0,620.0,1844.0
189000,7,3,1434,3,2.0,527.0,1454.0
171500,6,3,1730,3,2.0,528.0,816.0
120000,6,2,1217,2,1.0,288.0,626.0
145000,6,3,1332,3,2.0,542.0,1332.0
184000,7,3,1540,3,2.0,495.0,754.0
160000,6,2,1882,2,2.0,612.0,0.0
82000,4,1,841,2,1.0,294.0,721.0
76000,6,2,784,2,2.0,360.0,784.0
110000,5,2,980,2,2.0,400.0,980.0
135000,5,2,980,2,2.0,484.0,980.0
131400,5,2,1144,2,1.0,264.0,864.0
62383,5,2,864,2,1.0,360.0,864.0
123000,5,2,912,2,1.0,252.0,912.0
280750,7,3,3005,3,3.0,704.0,1376.0
164500,6,3,1224,3,2.0,528.0,612.0
173733,6,3,1224,3,2.0,528.0,612.0
172500,6,2,1471,2,2.0,440.0,729.0
180000,6,3,1512,3,2.0,440.0,756.0
156000,7,3,1452,3,2.0,506.0,691.0
172500,8,3,1739,3,2.0,480.0,970.0
